년월,주택담보대출금리,미국달러,일본엔,유로,소비자물가지수,소비자물가지수증감률,KOSPI_종가,KOSDAQ_종가,무담보콜금리,KORIBOR,CD,국고채_1년,국고채_10년,면적당가격
201207,4.64,1136.2,14.5359,1393.09,91.432,-0.2,1881.99,467.61,3.08,3.3,3.34,3.02,3.3,563.9533760597108
201208,4.41,1134.6,14.4397,1419.55,91.855,0.5,1905.12,508.35,3.0,3.1,3.19,2.84,3.09,547.0122104749781
201209,4.29,1118.6,14.4112,1444.28,92.512,0.7,1996.21,523.78,2.99,3.07,3.14,2.8500000000000005,3.05,568.8582013548504
201210,4.23,1094.1,13.744999999999997,1418.34,92.339,-0.2,1912.06,508.31,2.8,2.89,2.93,2.81,2.97,571.6886239277668
201211,4.19,1084.7,13.2055,1407.34,92.011,-0.4,1932.8999999999999,499.36999999999995,2.75,2.82,2.85,2.79,2.99,579.4106203616365
201212,4.16,1071.1,12.475,1416.26,92.175,0.2,1997.05,496.32,2.75,2.85,2.88,2.8,3.13,586.9607430214454
201301,4.17,1082.7,11.884700000000002,1469.28,92.728,0.5999999999999999,1961.9399999999998,503.67,2.76,2.83,2.86,2.72,3.05,588.1568022429786
201302,4.06,1085.4,11.762,1425.78,93.038,0.3,2026.49,535.87,2.75,2.79,2.83,2.68,3.04,590.1856218562634
201303,3.97,1112.1,11.8013,1425.2099999999998,92.95199999999998,-0.1,2004.89,555.02,2.74,2.76,2.81,2.6000000000000005,2.91,571.1758282351808
201304,3.86,1108.1,11.3204,1451.28,92.823,-0.1,1963.95,563.87,2.75,2.75,2.8,2.5799999999999996,2.84,575.2972037929854
201305,3.77,1128.3,11.1658,1471.42,92.823,0.0,2001.05,577.87,2.55,2.69,2.72,2.59,2.9,564.0427732743661
201306,3.73,1149.7,11.6715,1498.23,92.71,-0.1,1863.32,519.06,2.49,2.68,2.69,2.66,3.3099999999999996,552.6705000399941
201307,3.7699999999999996,1113.6,11.354,1476.7399999999998,92.909,0.2,1914.03,554.31,2.4800000000000004,2.6599999999999997,2.68,2.6599999999999997,3.47,522.6383747212739
201308,3.7999999999999994,1110.9,11.2919,1470.61,93.238,0.4000000000000001,1926.36,516.74,2.5,2.66,2.66,2.66,3.61,537.9871619855489
201309,3.82,1075.6,10.9867,1451.31,93.419,0.2,1996.96,534.89,2.5,2.66,2.66,2.67,3.53,544.8439432240117
201310,3.81,1061.4,10.7751,1456.61,93.134,-0.3,2030.09,532.44,2.5,2.65,2.66,2.66,3.44,556.0317304603482
201311,3.77,1062.1,10.3817,1444.83,93.116,0.0,2044.87,517.06,2.5,2.65,2.65,2.705,3.5840000000000005,573.9097665572318
201312,3.74,1055.3,10.0466,1456.2599999999998,93.229,0.1,2011.34,499.99,2.5,2.65,2.65,2.685,3.653,604.4297688066831
201401,3.75,1079.2,10.4371,1473.59,93.73,0.5,1941.15,515.2,2.5,2.65,2.65,2.657,3.647,594.5134049529677
201402,3.71,1067.7,10.4482,1463.6,93.98,0.3,1979.99,528.96,2.49,2.65,2.65,2.64,3.522,593.2576683920283
201403,3.69,1068.8,10.3873,1469.39,94.153,0.2,1985.61,541.58,2.48,2.65,2.65,2.659,3.543,555.4334617689582
201404,3.6899999999999995,1031.7,10.0531,1425.04,94.214,0.1,1961.79,559.34,2.49,2.65,2.65,2.653,3.5399999999999996,563.7739997909825
201405,3.63,1021.6,10.0418,1389.63,94.369,0.2,1994.9599999999998,546.53,2.49,2.65,2.65,2.641,3.402,565.5992443814758
201406,3.5800000000000005,1014.3999999999999,10.0,1384.15,94.248,-0.1,2002.2100000000003,537.06,2.48,2.64,2.65,2.602,3.2860000000000005,573.1898755138441
201407,3.5299999999999994,1024.3,9.9572,1371.84,94.386,0.1,2076.12,536.32,2.49,2.57,2.65,2.488,3.056,583.671089822803
201408,3.5,1013.5999999999999,9.7758,1336.23,94.551,0.2,2068.54,570.2,2.34,2.42,2.52,2.389,3.086,590.800611200385
201409,3.5,1050.6,9.6024,1333.32,94.49,-0.1,2020.09,573.22,2.23,2.3,2.35,2.277,3.012,586.2678581284595
201410,3.38,1054.0,9.6405,1328.78,94.205,-0.3,1964.43,558.7,2.06,2.16,2.21,2.134,2.769,587.4684135518955
201411,3.3,1101.1,9.3385,1372.19,94.01500000000001,-0.2,1980.7799999999997,545.08,1.98,2.07,2.14,2.047,2.692,573.4118239739777
201412,3.33,1099.2,9.2014,1336.52,94.006,0.0,1915.59,542.97,1.99,2.12,2.13,2.072,2.681,601.6979219540723
201501,3.34,1090.8,9.2136,1235.66,94.643,0.7,1949.26,591.58,1.99,2.05,2.13,1.995,2.415,593.1403309796176
201502,3.24,1099.2,9.2072,1230.66,94.587,-0.1,1985.7999999999997,624.56,1.9899999999999998,2.03,2.12,1.981,2.346,593.6941845983171
201503,2.97,1105.0,9.202599999999999,1196.77,94.596,0.0,2041.03,650.49,1.8200000000000003,1.88,1.95,1.838,2.276,594.2956797615402
201504,2.81,1068.1,8.9722,1187.03,94.625,0.0,2127.17,689.01,1.73,1.74,1.81,1.703,2.177,606.2917193840012
201505,3.06,1108.0,8.9463,1215.2,94.89,0.3,2114.8,711.39,1.7400000000000002,1.75,1.8,1.7459999999999998,2.49,611.104452009721
201506,3.01,1124.1,9.1715,1260.51,94.909,0.0,2074.2,742.27,1.5700000000000003,1.6399999999999997,1.7,1.6300000000000001,2.468,599.9638647676946
201507,2.96,1166.3,9.3928,1275.41,95.07999999999998,0.2,2030.1600000000003,725.06,1.48,1.5700000000000003,1.65,1.597,2.45,607.5489712307141
201508,2.94,1176.3,9.7006,1317.28,95.213,0.1,1941.49,687.11,1.49,1.55,1.64,1.582,2.308,597.8928407346078
201509,2.92,1194.5,9.9679,1343.93,94.966,-0.3,1962.81,678.48,1.48,1.55,1.6,1.553,2.216,629.4934850434643
201510,2.9,1142.3,9.4409,1254.76,94.966,0.0,2029.4700000000003,683.63,1.48,1.54,1.5799999999999998,1.5460000000000003,2.088,648.8847431209634
201511,3.04,1150.4,9.3673,1218.33,94.786,-0.2,1991.9700000000003,688.38,1.49,1.61,1.5900000000000003,1.631,2.254,669.075468783946
201512,3.12,1172.0,9.7201,1280.53,95.07,0.3,1961.31,682.35,1.48,1.67,1.67,1.635,2.181,631.7402735323852
201601,3.1,1208.4,10.1713,1322.17,95.232,0.2,1912.0600000000002,682.8,1.49,1.61,1.67,1.587,2.025,619.3235653463247
201602,2.99,1235.4,10.8583,1348.32,95.64,0.4,1916.6600000000003,651.62,1.49,1.54,1.6399999999999997,1.469,1.826,621.3608129137207
201603,2.97,1153.5,10.2602,1307.43,95.393,-0.3,1995.8500000000001,688.38,1.49,1.55,1.63,1.507,1.854,643.4163121107512
201604,2.93,1143.9,10.5819,1298.38,95.573,0.2,1994.15,699.77,1.49,1.55,1.61,1.493,1.8100000000000003,685.5225740679351
201605,2.89,1190.6,10.7276,1326.8,95.63,0.1,1983.4,698.45,1.49,1.52,1.58,1.48,1.7869999999999997,697.9077834712392
201606,2.77,1164.7,11.321500000000002,1295.5,95.611,0.0,1970.35,675.09,1.28,1.37,1.43,1.3610000000000002,1.617,687.0740574368448
201607,2.66,1125.7,10.7368,1246.71,95.431,-0.2,2016.19,706.24,1.23,1.27,1.36,1.26,1.401,667.9994847434203
